generation,mean_nectar_guide,selfing_rate,outcrossing_rate,failed_rate,mean_fitness,seed_output,germination,mean_neutral_diversity,Fis,Fst,bombus_frequency,small_bee_frequency,selfing_ability,inbreeding_load,guide_cost,seed_set_selfing,seed_set_outcrossing,germination_selfed,germination_outcrossed,migration_rate
0,0.4966620219194032,0.1375,0.36875,0.49375,0.29225386839393974,0.412375000000001,0.4012500000000003,0.7555065164240695,0.130625,0.1389028603565755,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
1,0.5168103256652741,0.225,0.325,0.45,0.2712279558311125,0.4115000000000012,0.4100000000000005,0.8081259604798128,0.21375,0.11656347900851374,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
2,0.5914461843585983,0.075,0.46875,0.45625,0.35668713698865134,0.47487500000000066,0.4527499999999999,0.8556886088260199,0.07125,0.06899888390505922,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
3,0.6637952798223932,0.08125,0.48125,0.4375,0.3635761285674177,0.4888750000000009,0.46650000000000036,0.880221879544542,0.07718749999999999,0.05592140998764195,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
4,0.6809771999711024,0.1125,0.5625,0.325,0.4268201922965195,0.5757500000000004,0.5509999999999998,0.8974904606626808,0.106875,0.04036313111406944,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
5,0.7113517374518447,0.1,0.58125,0.31875,0.43731130162600146,0.5871250000000006,0.5602499999999997,0.9168491238707344,0.095,0.031337486441216984,0.72,0.18,0.22,0.32,0.08,0.46,0.92,0.54,0.86,0.1
